Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity DOC_1	LFQ intensity DOC_2	LFQ intensity DOC_3
A6NDG6	A6NDG6	PGP	Phosphoglycolate phosphatase	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1					61142000.0	68267000.0
Q13765;E9PAV3-2;E9PAV3;Q9BZK3	Q13765;E9PAV3-2;E9PAV3	NACA	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	sp|Q13765|NACA_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;sp|E9PAV3-2|NACAM_HUMAN Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=960					393280000.0	455050000.0
O00151	O00151	PDLIM1	PDZ and LIM domain protein 1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4					136340000.0	161620000.0
O00231;O00231-2	O00231;O00231-2	PSMD11	26S proteasome non-ATPase regulatory subunit 11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3;sp|O00231-2|PSD11_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11				226260000.0	203040000.0	217820000.0
O00299	O00299	CLIC1	Chloride intracellular channel protein 1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4				602750000.0	714170000.0	723560000.0
O00303	O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1					154270000.0	245550000.0
O00410;O00410-3;O00410-2;O60518	O00410;O00410-3;O00410-2	IPO5	Importin-5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;sp|O00410-3|IPO5_HUMAN Isoform 3 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5;sp|O00410-2|IPO5_HUMAN Isoform 2 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5				218600000.0	259020000.0	287180000.0
O00425;O00425-2	O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2				36866000.0	36120000.0	42855000.0
O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	DNM1L	Dynamin-1-like protein	sp|O00429-3|DNM1L_HUMAN Isoform 2 of Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L;sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2;sp|O00429-4|DNM1L_HUMAN Isoform 3 of Dynamin-1-like protein OS=Homo sapiens						87387000.0
O00442;O00442-2	O00442;O00442-2	RTCA	RNA 3-terminal phosphate cyclase	sp|O00442|RTCA_HUMAN RNA 3-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA PE=1 SV=1;sp|O00442-2|RTCA_HUMAN Isoform 2 of RNA 3-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA				5660100.0		
