Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
P0DPI2;A0A0B4J2D5;P0DPI2-2;A0A0B4J2D5-2	P0DPI2;A0A0B4J2D5;P0DPI2-2;A0A0B4J2D5-2			sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondr				42382000.0	37800000.0	
A0AV96-2;A0AV96	A0AV96-2;A0AV96	RBM47	RNA-binding protein 47	sp|A0AV96-2|RBM47_HUMAN Isoform 2 of RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47;sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2				3423300.0		
A0AVT1;A0AVT1-4;A0AVT1-3;A0AVT1-2	A0AVT1;A0AVT1-4;A0AVT1-3	UBA6	Ubiquitin-like modifier-activating enzyme 6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1;sp|A0AVT1-4|UBA6_HUMAN Isoform 4 of Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6;sp|A0AVT1-3|UBA6_HUMAN Isoform 3 of U						
A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4;A0FGR8-5	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	ESYT2	Extended synaptotagmin-2	sp|A0FGR8-2|ESYT2_HUMAN Isoform 2 of Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2;sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1;sp|A0FGR8-6|ESYT2_HUMAN Isoform 6 of Extended synaptotagmin-2 OS=Homo s						
A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2;A0MZ66-7	A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2	KIAA1598	Shootin-1	sp|A0MZ66-8|SHOT1_HUMAN Isoform 8 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-4|SHOT1_HUMAN Isoform 4 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-5|SHOT1_HUMAN Isoform 5 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-6|SHOT				50959000.0		
A1L0T0	A1L0T0	ILVBL	Acetolactate synthase-like protein	sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2						
A1X283;Q5TCZ1-3;Q5TCZ1	A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3						
A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	CNOT1	CCR4-NOT transcription complex subunit 1	sp|A5YKK6-2|CNOT1_HUMAN Isoform 2 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1;sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2;sp|A5YKK6-3|CNOT1_HUMAN Isoform 3 of CC						
A6NDG6	A6NDG6	PGP	Phosphoglycolate phosphatase	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1					58855000.0	48684000.0
A6NDU8	A6NDU8	C5orf51	UPF0600 protein C5orf51	sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1						
