primary_id,term_id,term_name,source,category,symbol,organism
P35527,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT9,Homo sapiens (Human)
P35908,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT2,Homo sapiens (Human)
P13645,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT10,Homo sapiens (Human)
P04264,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT1,Homo sapiens (Human)
P10599,CONTAM:ccp,CCP,contaminants,contaminant_db,TXN,Homo sapiens (Human)
P00441,CONTAM:ccp,CCP,contaminants,contaminant_db,SOD1,Homo sapiens (Human)
P62979,CONTAM:ccp,CCP,contaminants,contaminant_db,RPS27A,Homo sapiens (Human)
Q06830,CONTAM:ccp,CCP,contaminants,contaminant_db,PRDX1,Homo sapiens (Human)
P61626,CONTAM:ccp,CCP,contaminants,contaminant_db,LYZ,Homo sapiens (Human)
P02788,CONTAM:ccp,CCP,contaminants,contaminant_db,LTF,Homo sapiens (Human)
P68871,CONTAM:ccp,CCP,contaminants,contaminant_db,HBB,Homo sapiens (Human)
P69905,CONTAM:ccp,CCP,contaminants,contaminant_db,HBA2,Homo sapiens (Human)
P12081,CONTAM:ccp,CCP,contaminants,contaminant_db,HARS1,Homo sapiens (Human)
P09211,CONTAM:ccp,CCP,contaminants,contaminant_db,GSTP1,Homo sapiens (Human)
P06396,CONTAM:ccp,CCP,contaminants,contaminant_db,GSN,Homo sapiens (Human)
P99999,CONTAM:ccp,CCP,contaminants,contaminant_db,CYCS,Homo sapiens (Human)
P07339,CONTAM:ccp,CCP,contaminants,contaminant_db,CTSD,Homo sapiens (Human)
P04040,CONTAM:ccp,CCP,contaminants,contaminant_db,CAT,Homo sapiens (Human)
P00918,CONTAM:ccp,CCP,contaminants,contaminant_db,CA2,Homo sapiens (Human)
P01031,CONTAM:ccp,CCP,contaminants,contaminant_db,C5,Homo sapiens (Human)
P02768,CONTAM:ccp,CCP,contaminants,contaminant_db,ALB,Homo sapiens (Human)
Q02958,CONTAM:ccp,CCP,contaminants,contaminant_db,KRTAP6-1,Ovis aries (Sheep)
O43790,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT86,Homo sapiens (Human)
P78386,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT85,Homo sapiens (Human)
Q9NSB2,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT84,Homo sapiens (Human)
P78385,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT83,Homo sapiens (Human)
Q9NSB4,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT82,Homo sapiens (Human)
Q14533,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT81,Homo sapiens (Human)
O76015,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT38,Homo sapiens (Human)
O76014,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT37,Homo sapiens (Human)
O76013,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT36,Homo sapiens (Human)
Q92764,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT35,Homo sapiens (Human)
O76011,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT34,Homo sapiens (Human)
Q14525,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT33B,Homo sapiens (Human)
O76009,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT33A,Homo sapiens (Human)
Q14532,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT32,Homo sapiens (Human)
Q15323,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT31,Homo sapiens (Human)
P02438,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02439,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02440,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02441,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02443,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02444,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02445,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02534,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P02539,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P08131,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P15241,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P25690,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P25691,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P26372,CONTAM:ccp,CCP,contaminants,contaminant_db,,Ovis aries (Sheep)
P63279,CONTAM:ccp,CCP,contaminants,contaminant_db,UBE2I,Homo sapiens (Human)
P51965,CONTAM:ccp,CCP,contaminants,contaminant_db,UBE2E1,Homo sapiens (Human)
O00762,CONTAM:ccp,CCP,contaminants,contaminant_db,UBE2C,Homo sapiens (Human)
P01375,CONTAM:ccp,CCP,contaminants,contaminant_db,TNF,Homo sapiens (Human)
P02787,CONTAM:ccp,CCP,contaminants,contaminant_db,TF,Homo sapiens (Human)
P63165,CONTAM:ccp,CCP,contaminants,contaminant_db,SUMO1,Homo sapiens (Human)
O82803,CONTAM:ccp,CCP,contaminants,contaminant_db,SRPP,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
P01012,CONTAM:ccp,CCP,contaminants,contaminant_db,SERPINB14,Gallus gallus (Chicken)
P02753,CONTAM:ccp,CCP,contaminants,contaminant_db,RBP4,Homo sapiens (Human)
P00760,CONTAM:ccp,CCP,contaminants,contaminant_db,PRSS1,Bos taurus (Bovine)
P62937,CONTAM:ccp,CCP,contaminants,contaminant_db,PPIA,Homo sapiens (Human)
P30879,CONTAM:ccp,CCP,contaminants,contaminant_db,PGC,Sus scrofa (Pig)
Q10735,CONTAM:ccp,CCP,contaminants,contaminant_db,PGB,Sus scrofa (Pig)
P00791,CONTAM:ccp,CCP,contaminants,contaminant_db,PGA,Sus scrofa (Pig)
P00792,CONTAM:ccp,CCP,contaminants,contaminant_db,PGA,Bos taurus (Bovine)
P01127,CONTAM:ccp,CCP,contaminants,contaminant_db,PDGFB,Homo sapiens (Human)
P16083,CONTAM:ccp,CCP,contaminants,contaminant_db,NQO2,Homo sapiens (Human)
P15559,CONTAM:ccp,CCP,contaminants,contaminant_db,NQO1,Homo sapiens (Human)
Q15843,CONTAM:ccp,CCP,contaminants,contaminant_db,NEDD8,Homo sapiens (Human)
P81054,CONTAM:ccp,CCP,contaminants,contaminant_db,MEP,Grifola frondosa (Maitake) (Polyporus frondosus)
P68082,CONTAM:ccp,CCP,contaminants,contaminant_db,MB,Equus caballus (Horse)
P02144,CONTAM:ccp,CCP,contaminants,contaminant_db,MB,Homo sapiens (Human)
P10636,CONTAM:ccp,CCP,contaminants,contaminant_db,MAPT,Homo sapiens (Human)
P00698,CONTAM:ccp,CCP,contaminants,contaminant_db,LYZ,Gallus gallus (Chicken)
P41159,CONTAM:ccp,CCP,contaminants,contaminant_db,LEP,Homo sapiens (Human)
P00709,CONTAM:ccp,CCP,contaminants,contaminant_db,LALBA,Homo sapiens (Human)
P00722,CONTAM:ccp,CCP,contaminants,contaminant_db,lacZ,Escherichia coli (strain K12)
P0C1U8,CONTAM:ccp,CCP,contaminants,contaminant_db,sspA,Staphylococcus aureus
O77727,CONTAM:ccp,CCP,contaminants,contaminant_db,KRT15,Ovis aries (Sheep)
P01344,CONTAM:ccp,CCP,contaminants,contaminant_db,IGF2,Homo sapiens (Human)
P01112,CONTAM:ccp,CCP,contaminants,contaminant_db,HRAS,Homo sapiens (Human)
P08263,CONTAM:ccp,CCP,contaminants,contaminant_db,GSTA1,Homo sapiens (Human)
P00366,CONTAM:ccp,CCP,contaminants,contaminant_db,GLUD1,Bos taurus (Bovine)
P42212,CONTAM:ccp,CCP,contaminants,contaminant_db,GFP,Aequorea victoria (Water jellyfish) (Mesonema victoria)
P32503,CONTAM:ccp,CCP,contaminants,contaminant_db,gag,Saccharomyces cerevisiae virus L-A (ScV-L-A) (ScVL1)
P05413,CONTAM:ccp,CCP,contaminants,contaminant_db,FABP3,Homo sapiens (Human)
P01133,CONTAM:ccp,CCP,contaminants,contaminant_db,EGF,Homo sapiens (Human)
