primary_id,paxdb_ppm
P62328,82964.0
P02652,31361.0
P02753,24443.0
P02763,22835.0
P02647,20723.0
P02768,19929.0
P02766,19096.0
P02655,17564.0
P02654,16749.0
P02790,15511.0
P02656,11298.0
C9JV77,11180.0
P04406,9978.0
P19652,9784.0
P01009,7748.0
P00738,7425.0
P02774,7169.0
P60709,6893.0
P63261,6850.0
P01008,6838.0
P68871,6494.0
P02749,6122.0
P01024,5811.0
P02675,5411.0
P02775,5183.0
P08603,5040.0
P05090,5010.0
P69905,4979.0
P07737,4950.0
P02787,4792.0
P08670,4542.0
P01011,4275.0
P04217,4203.0
P01042,4187.0
P00734,4017.0
A0A2R8Y6G6,3890.0
P04264,3624.0
P62937,3530.0
P01023,3520.0
P00747,3516.0
P04003,3449.0
P68104,3342.0
P06396,3250.0
P14618,3152.0
P02679,3105.0
P02671,3068.0
P00450,3067.0
B9A064,2966.0
P04196,2935.0
P04004,2724.0
P02760,2686.0
P06727,2644.0
P35527,2639.0
Q14624,2626.0
P10909,2454.0
P02776,2377.0
Q03591,2253.0
P23528,2243.0
P10809,2191.0
P25311,2177.0
P02042,2173.0
P05452,2146.0
P05019,2104.0
P06702,2091.0
P11142,2076.0
P07437,2063.0
P67936,2030.0
P63104,2017.0
P62258,2005.0
P36980,1987.0
P37802,1919.0
P35579,1740.0
P13645,1736.0
P06748,1708.0
P0DJI8,1674.0
Q9H299,1597.0
P00739,1548.0
Q9Y490,1511.0
P60660,1501.0
P21333,1492.0
P00751,1488.0
P41222,1483.0
P02649,1475.0
P62987,1439.0
P08238,1415.0
P00558,1393.0
P61769,1392.0
P05155,1382.0
P27797,1361.0
P07355,1336.0
P06576,1308.0
P25705,1246.0
Q9H4B7,1226.0
P09211,1223.0
P09493,1221.0
P68371,1203.0
P0C0L5,1200.0
P08697,1198.0
P0C0L4,1197.0
P18206,1186.0
P02743,1169.0
P60174,1134.0
Q06830,1117.0
P07996,1110.0
H0YJW9,1104.0
P05109,1092.0
P62081,1082.0
P55056,1057.0
P40926,1037.0
P68363,1023.0
P02751,1010.0
P0DJI9,1006.0
Q86UX7,997.0
P07900,988.0
P62979,988.0
Q6S8J3,986.0
O60814,977.0
P62807,977.0
Q93079,977.0
P58876,976.0
Q99877,976.0
P57053,976.0
Q99879,975.0
Q99880,975.0
P51884,974.0
P06899,972.0
Q16778,971.0
P23527,971.0
P33778,970.0
Q9BVA1,967.0
Q8N257,965.0
K9J7H5,963.0
P61224,962.0
P00441,956.0
Q13885,953.0
P11021,949.0
Q5QNW6,948.0
P08514,937.0
P68366,936.0
P06753,935.0
P04083,933.0
P43652,923.0
P05386,923.0
P04350,923.0
Q96PD5,923.0
O14950,913.0
P09429,912.0
P00748,911.0
P31146,909.0
P04075,905.0
Q01518,902.0
A0ACM8QGB8,902.0
Q8IUE6,894.0
P35542,894.0
Q71U36,890.0
P22626,881.0
P10720,879.0
P32119,876.0
J3QRS3,875.0
P22352,858.0
P61626,857.0
P27169,853.0
P16104,850.0
Q96QV6,843.0
P22392,843.0
P01019,835.0
P62805,830.0
P12814,818.0
P36955,804.0
Q07021,804.0
P08567,794.0
P01034,790.0
P17936,787.0
P68032,786.0
P31949,775.0
P63267,768.0
P62736,763.0
P52566,762.0
F5H5D3,760.0
P13639,759.0
P05387,758.0
P26038,753.0
F6WQW2,753.0
P84243,752.0
P09871,745.0
P61978,744.0
Q13418,742.0
O75531,730.0
P30041,730.0
O95445,729.0
O95810,723.0
P62314,720.0
A0A096LPE2,714.0
O43866,709.0
P08758,702.0
P09496,700.0
P01344,698.0
P68133,697.0
P02748,695.0
P19823,691.0
P00488,690.0
P30101,690.0
O00151,682.0
A0A2R8Y3M9,680.0
P69892,679.0
P62318,674.0
Q14019,672.0
E7ETH0,670.0
P35908,668.0
P04792,657.0
P12277,656.0
Q99497,655.0
P08133,647.0
Q05639,645.0
O00299,644.0
A0A0C4DG17,635.0
P07998,630.0
P19827,627.0
P27105,626.0
Q9ULV4,626.0
P23284,625.0
P62834,621.0
P61604,620.0
P14625,616.0
P02511,613.0
P13671,613.0
P62829,613.0
P11217,612.0
P63244,611.0
P02750,610.0
P0DMV8,610.0
P0DMV9,610.0
P69891,605.0
P15090,602.0
O75636,598.0
P18669,594.0
O75083,593.0
A0A2U3TZU2,591.0
P61160,591.0
P23396,591.0
P05388,590.0
Q6FI13,590.0
Q16777,589.0
Q15404,586.0
P35268,585.0
P54108,583.0
P78371,580.0
P36578,579.0
P07237,578.0
Q71DI3,575.0
P03952,573.0
P62269,572.0
P02745,570.0
O15144,569.0
P63241,559.0
Q01105,554.0
P61247,552.0
P19338,551.0
P16403,551.0
P05546,547.0
P07951,546.0
P07910,546.0
P55072,540.0
P0DPH7,540.0
P0DPH8,540.0
P0CG47,536.0
P30050,535.0
P31946,535.0
P15311,534.0
Q02878,531.0
P13929,523.0
P08708,522.0
O15145,517.0
P10412,515.0
P30086,514.0
P61981,513.0
P61158,511.0
O75915,511.0
P20851,510.0
P16402,505.0
Q93077,500.0
Q7L7L0,500.0
P04908,500.0
J3QQX2,500.0
Q6PEY2,496.0
P16401,496.0
P62263,495.0
Q14103,492.0
P48735,492.0
Q13790,483.0
P62906,482.0
Q15942,481.0
P10599,478.0
P09651,477.0
P62888,475.0
P27348,474.0
P40227,470.0
P00491,468.0
A0A2R8Y7X9,466.0
Q9NY65,464.0
P30740,463.0
P29401,461.0
P83731,461.0
Q02985,460.0
P09382,457.0
Q13509,455.0
P62826,455.0
P09104,454.0
P0C0S8,454.0
Q96KK5,454.0
Q99878,454.0
P20671,454.0
Q9BTM1,453.0
P27918,451.0
P49773,451.0
P46778,449.0
B1AK88,449.0
O60240,448.0
P61313,447.0
P14174,447.0
P05160,445.0
P12956,443.0
P50552,437.0
P24844,435.0
P62750,434.0
P05787,433.0
P30048,426.0
P26599,425.0
P05783,422.0
O43707,421.0
P50991,420.0
P51149,418.0
P78417,417.0
P63173,414.0
Q00839,413.0
Q9UGM5,413.0
P39023,412.0
P00915,412.0
Q99623,411.0
P27824,410.0
P62424,409.0
P0DP23,409.0
P0DP24,409.0
P0DP25,409.0
P42766,407.0
A0A0U1RR32,407.0
P21796,405.0
P62753,402.0
P07108,401.0
P10643,400.0
P18124,400.0
P50990,400.0
Q6NZI2,400.0
P46777,397.0
P26373,395.0
K7ELC2,394.0
P61353,392.0
P17661,391.0
P13224,390.0
P13010,388.0
K7ERG9,386.0
P50914,385.0
P05543,385.0
P14866,385.0
P46782,383.0
P50395,382.0
P04080,382.0
P63220,382.0
P07358,381.0
Q15084,380.0
P58546,377.0
P04632,377.0
P48643,376.0
P55209,374.0
P13796,369.0
Q562R1,368.0
P20290,367.0
Q15233,366.0
P09936,364.0
P49368,364.0
P39687,360.0
P62241,359.0
P02545,358.0
P26583,356.0
Q13838,355.0
P38646,355.0
Q04917,349.0
Q9H0U4,347.0
P84103,347.0
Q9Y281,346.0
Q01469,345.0
P05141,344.0
Q9HB71,342.0
P62942,342.0
P14770,342.0
P34931,341.0
P62316,339.0
P62701,338.0
P62854,337.0
P62910,337.0
P62873,337.0
P63313,336.0
Q96NZ9,335.0
P61106,332.0
A0A2R8Y4L2,332.0
P20618,332.0
P54819,331.0
P99999,331.0
P37837,328.0
P35232,328.0
P14151,326.0
P40939,326.0
P07357,323.0
P09486,322.0
P46781,319.0
A0A8J8YWN6,318.0
P25787,317.0
P62280,315.0
P47914,314.0
P22314,314.0
P25786,313.0
Q8NC51,313.0
Q99832,312.0
P84098,312.0
P62847,312.0
P61586,310.0
P15531,310.0
A0A0B4J269,310.0
P52272,309.0
P09972,308.0
A0A087WYT3,305.0
P28066,304.0
A0A0B4J2C3,303.0
P31943,302.0
P04179,301.0
P00918,299.0
P45880,299.0
P07360,298.0
Q16610,298.0
P48047,295.0
P62857,295.0
