primary_id,term_id,term_name,source,category,panther_accession,panther_dataset_id
P04637,GO:0006915,apoptotic process,PANTHER,go_bp,PTHR11447:SF6,GO:0008150
P04637,GO:0005634,nucleus,PANTHER,go_cc,PTHR11447:SF6,GO:0005575
P04637,PC00206,transcription factor,PANTHER,protein_class,PTHR11447:SF6,ANNOT_TYPE_ID_PANTHER_PC
P00533,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,PANTHER,go_bp,PTHR24033:SF1,GO:0008150
P00533,GO:0005886,plasma membrane,PANTHER,go_cc,PTHR24033:SF1,GO:0005575
P00533,PC00197,receptor tyrosine kinase,PANTHER,protein_class,PTHR24033:SF1,ANNOT_TYPE_ID_PANTHER_PC
Q00987,GO:0051301,cell division,PANTHER,go_bp,PTHR11943:SF6,GO:0008150
Q00987,GO:0005634,nucleus,PANTHER,go_cc,PTHR11943:SF6,GO:0005575
Q9Y6K9,GO:0006397,mRNA processing,PANTHER,go_bp,PTHR10658:SF10,GO:0008150
Q9Y6K9,GO:0005634,nucleus,PANTHER,go_cc,PTHR10658:SF10,GO:0005575
P38398,GO:0006281,DNA repair,PANTHER,go_bp,PTHR13763:SF34,GO:0008150
P38398,GO:0005634,nucleus,PANTHER,go_cc,PTHR13763:SF34,GO:0005575
P01308,GO:0006006,glucose metabolic process,PANTHER,go_bp,PTHR11454:SF4,GO:0008150
P01308,GO:0005615,extracellular space,PANTHER,go_cc,PTHR11454:SF4,GO:0005575
